sport,gold_sex_1,gold_sex_2,silver_sex_1,silver_sex_2,bronze_sex_1,bronze_sex_2,gold_age_0,gold_age_1,gold_age_2,gold_age_3,gold_age_4,gold_age_5,gold_age_6,gold_age_7,gold_age_8,gold_age_9,silver_age_0,silver_age_1,silver_age_2,silver_age_3,silver_age_4,silver_age_5,silver_age_6,silver_age_7,silver_age_8,silver_age_9,bronze_age_0,bronze_age_1,bronze_age_2,bronze_age_3,bronze_age_4,bronze_age_5,bronze_age_6,bronze_age_7,bronze_age_8,bronze_age_9,gold_weight_0,gold_weight_1,gold_weight_2,gold_weight_3,gold_weight_4,gold_weight_5,gold_weight_6,gold_weight_7,gold_weight_8,gold_weight_9,silver_weight_0,silver_weight_1,silver_weight_2,silver_weight_3,silver_weight_4,silver_weight_5,silver_weight_6,silver_weight_7,silver_weight_8,silver_weight_9,bronze_weight_0,bronze_weight_1,bronze_weight_2,bronze_weight_3,bronze_weight_4,bronze_weight_5,bronze_weight_6,bronze_weight_7,bronze_weight_8,bronze_weight_9,gold_height_0,gold_height_1,gold_height_2,gold_height_3,gold_height_4,gold_height_5,gold_height_6,gold_height_7,gold_height_8,gold_height_9,silver_height_0,silver_height_1,silver_height_2,silver_height_3,silver_height_4,silver_height_5,silver_height_6,silver_height_7,silver_height_8,silver_height_9,bronze_height_0,bronze_height_1,bronze_height_2,bronze_height_3,bronze_height_4,bronze_height_5,bronze_height_6,bronze_height_7,bronze_height_8,bronze_height_9,
Sailing,0.07120141,0.05075594,0.0655477,0.0475162,0.05724382,0.04643628,0.04310345,0.05929919,0.07264425,0.07827103,0.125,0.07575758,0,0,0,0,0.09482758,0.0477474,0.06600249,0.0771028,0.1048387,0.09090909,0.2222222,0,0,0,0.00862069,0.0458221,0.05936073,0.06425234,0.08870967,0.04545455,0.1111111,0,0,0,0,0.03482587,0.04323175,0.0592417,0.05063291,0,0,0,0,0,0,0.04145937,0.04606662,0.04660347,0.06962025,0.0952381,0,0,0,0,0,0.0464345,0.04181432,0.05371248,0.05696202,0.0952381,0,0,0,0,0,0,0,0.04504504,0.03657074,0.05496536,0.05405406,0.07894737,0,0,0,0,0.03571429,0.02102102,0.04856115,0.05127021,0.0455192,0.05263158,0,0,0,0,0.03571429,0.04204204,0.03657074,0.05265589,0.04978663,0.07894737,0,0
Biathlon,0.02838284,0.02683843,0.02871287,0.02683843,0.0280528,0.02683843,0,0.02644068,0.03065775,0.03092784,0,0,0,0,0,0,0,0.02779661,0.02954292,0.02061856,0,0,0,0,0,0,0.01960784,0.02677966,0.02954292,0.02061856,0,0,0,0,0,0,0,0.02411765,0.02889959,0.03703704,0,0,0,0,0,0,0,0.02411765,0.03260467,0.01388889,0,0,0,0,0,0,0,0.03058824,0.02593553,0.03240741,0,0,0,0,0,0,0,0,0,0.02728227,0.02385108,0.03560652,0.01265823,0,0,0,0,0,0,0.02518363,0.02734148,0.03379602,0.02109705,0,0,0,0,0,0.01960784,0.02728227,0.02966841,0.02957151,0.01687764,0,0,0
Gymnastics,0.03168734,0.0256326,0.02929799,0.02530398,0.02747753,0.02585168,0.02155576,0.0314863,0.04099217,0.02192982,0,0,0,0,0,0,0.02474227,0.02770547,0.03629243,0.03947368,0,0,0,0,0,0,0.02005623,0.02801537,0.02819843,0.03508772,0,0,0,0,0,0,0.02862784,0.0249902,0.01316006,0,0,0,0,0,0,0,0.02961501,0.02283418,0.01316006,0.04,0,0,0,0,0,0,0.02862784,0.02273618,0.01760158,0,0,0,0,0,0,0,0.05357143,0.04196816,0.01924928,0.02777778,0.01503519,0.01528014,0,0,0,0,0.01785714,0.03473227,0.02085339,0.02350427,0.01583493,0.01528014,0,0,0,0,0.01785714,0.02460203,0.02374078,0.02375566,0.01887396,0.01697793,0,0,0,0
Art Competitions,0.01499531,0.00265252,0.01593252,0.0132626,0.01437051,0.0132626,0,0.009803922,0.02681992,0.01979045,0.0135318,0.01089918,0.003225806,0,0,0,0,0.01470588,0.03256705,0.01746217,0.01217862,0.01362398,0.009677419,0.01818182,0,0,0.1428571,0.01960784,0.0210728,0.0209546,0.01217862,0.01089918,0.009677419,0.01818182,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
Alpine Skiing,0.0130731,0.02118894,0.01325723,0.02118894,0.01325723,0.02030606,0.006772009,0.01642803,0.02327515,0,0,0,0,0,0,0,0.006772009,0.01688018,0.02161263,0,0,0,0,0,0,0,0.007900678,0.01507159,0.02826268,0,0,0,0,0,0,0,0,0.01979522,0.01763827,0.02163934,0,0,0,0,0,0,0,0.01979522,0.01733931,0.02163934,0,0,0,0,0,0,0,0.01638225,0.01644245,0.02229508,0,0,0,0,0,0,0,0,0.01639344,0.0199005,0.01774719,0.01923979,0.03083701,0,0,0,0,0,0.01639344,0.01907131,0.02028251,0.01689348,0.02202643,0,0,0,0,0,0.01639344,0.01575456,0.01955813,0.01689348,0.02202643,0,0,0
Handball,0.08568905,0.1106353,0.08789752,0.1134904,0.08613075,0.1127766,0.08333334,0.09561753,0.09836066,0.06666667,0,0,0,0,0,0,0.1458333,0.1013723,0.09445745,0.02222222,0,0,0,0,0,0,0.08333334,0.09074812,0.108509,0.1111111,0,0,0,0,0,0,0,0.08695652,0.08571429,0.07856651,0.1348837,0,0,0,0,0,0,0.1086956,0.1045296,0.09097175,0.0744186,0.25,0,0,0,0,0,0.1217391,0.09825784,0.0923501,0.1069767,0.25,0,0,0,0,0,0,0,0.1031746,0.09426229,0.08501683,0.07852883,0.1316726,0,0,0,0,0,0.1507937,0.1147541,0.08333334,0.09045725,0.1032028,0.1538462,0,0,0,0,0.1031746,0.113388,0.08922559,0.08946322,0.113879,0.2307692,0
Weightlifting,0.05238918,0.07559396,0.05123777,0.07559396,0.05210133,0.07559396,0.009174312,0.06424911,0.05063291,0,0,0,0,0,0,0,0.04587156,0.06267245,0.04381694,0.01724138,0,0,0,0,0,0,0.05504587,0.05321246,0.06329114,0.06896552,0,0,0,0,0,0,0,0.05509642,0.05106049,0.05122235,0.05217391,0.06569343,0.06756756,0.2692308,0,0,0,0.05417814,0.05027494,0.04772992,0.06956521,0.0729927,0.0945946,0.03846154,0,0,0,0.04958678,0.05734485,0.04772992,0.04927536,0.06569343,0.1081081,0.03846154,0,0,0,0.1176471,0.1026316,0.04564315,0.06,0.05788423,0.05494506,0.2,0,0,0,0.1176471,0.07368421,0.04771784,0.06190476,0.06387226,0.07692308,0,0,0,0,0.1176471,0.06315789,0.05912863,0.04761905,0.07784431,0.02197802,0.2,0,0
Wrestling,0.05766423,0.05921053,0.0579562,0.05921053,0.06364963,0.1052632,0.008264462,0.06390639,0.0578635,0.06666667,0,0,0,0,0,0,0.01652892,0.05985599,0.0628091,0.05333333,0,0,0,0,0,0,0.02479339,0.06818182,0.07319485,0.06666667,0,0,0,0,0,0,0,0.06058824,0.05792164,0.0578635,0.08854166,0.06206897,0,0,0,0,0,0.06058824,0.04997161,0.06602374,0.07291666,0.05862069,0,0,0,0,0,0.06705882,0.06643952,0.06454006,0.078125,0.07241379,0.4,0,0.3333333,0,0,0,0.05306122,0.06034483,0.05873099,0.05271318,0.07675906,0.1388889,0,0,0,0,0.08163265,0.05675287,0.05296277,0.0620155,0.07036247,0.08333334,0,0,0,0,0.07755102,0.06752873,0.06502359,0.06976745,0.07249467,0.08333334,0.5,0
Luge,0.04264973,0.0397878,0.03901996,0.0397878,0.04083484,0.0397878,0.01315789,0.0483871,0.03154574,0,0,0,0,0,0,0,0.01315789,0.03605313,0.05362776,0.08,0,0,0,0,0,0,0,0.03795066,0.05362776,0.12,0,0,0,0,0,0,0,0.02777778,0.04444445,0.04444445,0.2,0,0,0,0,0,0,0.009259259,0.04183007,0.05050505,0,0,0,0,0,0,0,0.01851852,0.03529412,0.06060606,0,0,0,0,0,0,0,0,0,0.03007519,0.03119266,0.05308219,0.08181818,0,0,0,0,0,0,0.01503759,0.04036697,0.04965753,0.04545455,0,0,0,0,0,0,0.007518797,0.03853211,0.05136986,0.06363636,0,0,0
Water Polo,0.08546754,0.1290984,0.08427636,0.1311475,0.08814771,0.1311475,0.04545455,0.08914237,0.1126005,0.08,0,0,0,0,0,0,0.02727273,0.09378961,0.09294012,0.06,0,0,0,0,0,0,0.09090909,0.09970427,0.09115282,0.08,0,0,0,0,0,0,0,0.06382979,0.09989806,0.08858965,0.1724138,0,0,0,0,0,0,0.1382979,0.07441387,0.09355067,0.1077586,0.1666667,0,0,0,0,0,0.1170213,0.08256881,0.09638554,0.09051724,0.3333333,0,0,0,0,0,0,0.4,0.0625,0.08767772,0.1029543,0.0849741,0.1859504,0,0,0,0,0.3,0.125,0.09952607,0.07520143,0.1005181,0.09504132,0,0,0,0,0,0.1875,0.08530806,0.08146822,0.1056995,0.0785124,0,0
